Dataset,Example
start_conditions
dihydroxyacetone/ M,2.0,
formaldehyde/ M,2.0,
NaOH/ M,0.12,
CaCl2/ M,0.06,
water/ M,0.0,
end_conditions
start_analysis_details
Instrument,not specified,
Chromatography_method,GCMS,method_filename,
Derivatisation_method,75 uL EtONH2.HCl; 30 mins @ 70 oC; 25 uL N;O-Bis(trimethylsilyl)trifluoroacetamide; 30 mins @ 70 oC; dilution to 200 uL with internal standard solution,
Calibrations_file,example_calibrations.csv,
Calibration_model,quadratic,
end_analysis_details
start_data
time/ s,compound_1/ M (8.096),
30.0,0.0062804515267825736,
20.0,0.0,
10.0,0.00632459049752078,
end_data
start_errors
time/ s,compound_1/ M (8.096),
30.0,4.912883207071312e-05,
20.0,0.0,
10.0,4.947410916933e-05,
end_errors
