Dataset,Example
start_conditions
dihydroxyacetone/ M,2.0,
formaldehyde/ M,2.0,
NaOH/ M,0.12,
CaCl2/ M,0.06,
water/ M,0.0,
end_conditions
start_analysis_details
Instrument,not specified,
Chromatography_method,GCMS,method_filename,
Derivatisation_method,75 uL EtONH2.HCl; 30 mins @ 70 oC; 25 uL N;O-Bis(trimethylsilyl)trifluoroacetamide; 30 mins @ 70 oC; dilution to 200 uL with internal standard solution,
Calibrations_file,example_calibrations.csv,
Calibration_model,quadratic,
end_analysis_details
start_data
time/ s,,
30.0,2.6003006873353836,
20.0,2.678757306788164,
10.0,2.4619134560069535,
end_data
start_errors
end_errors
