Technique,GCMS,,,,,,,,,,
Date,2019_02_18,,,,,,,,,,
Method_file,Method 5,,,,,,,,,,
Column,HP-5,,,,,,,,,,
Derivatisation_details,75 uL EtONH2.HCl; 30 mins @ 70 oC; 25 uL N,O-Bis(trimethylsilyl)trifluoroacetamide; 30 mins @ 70 oC; dilution to 200 uL with internal standard solution,,,,,,,,,
internal_standard_concentration,0.0008,,,,,,,,,,
internal_standard_position,7,,,,,,,,,,
calibration_model,quadratic,,,,,,,,,,
,start_calibration,,,,,,,,,start_boundaries,
compound_name,A,A_variance,B,B_variance,AB_covariance,C,C_variance,AC_covariance,BC_covariance,lower,upper
2-ketopentose_alpha_branch_RR,0,0,1.8265,0,0,0,0,0,0,13.47,13.52
2-ketopentose_alpha_branch_RS,None,0,None,0,None,0,0,0,0,14.12439023,14.12839023
2-ketopentose_beta_branch,0,0,1.32,0,0,0,0,0,0,13.16,13.22
2-ketotetrose_alpha_branch,0,0,1.8265,0,0,0,0,0,0,10.38,10.42
3-ketohexose_RSS,0,0,1.8265,0,0,0,0,0,0,13.56139023,13.64139023
3-ketohexose_SRS,0,0,1.8265,0,0,0,0,0,0,13.90139023,13.96139023
3-ketohexose_SSR,0,0,1.8265,0,0,0,0,0,0,13.90139023,13.96139023
3-ketohexose_SSS,0,0,1.8265,0,0,0,0,0,0,13.90139023,13.96139023
3-ketopentose_anti,0,0,1.8265,0,0,0,0,0,0,13.90139023,13.96139023
3-ketopentose_alpha_branch,0,0,1.8265,0,0,0,0,0,0,14.04,14.08
3-ketopentose_syn,0,0,1.897,0,0,0,0,0,0,None,None
aldopentose_alpha_branch_RRR,0,0,1.8265,0,0,0,0,0,0,13.63,13.71
aldopentose_alpha_branch_RRS,0,0,1.8265,0,0,0,0,0,0,16.4,16.45
aldopentose_alpha_branch_RSR,0,0,1.8265,0,0,0,0,0,0,16.20139023,16.31139023
aldopentose_alpha_branch_RSS,0,0,1.8265,0,0,0,0,0,0,14.16232423,14.17424023
aldopentose_gamma_branch_RR,0,0,1.8265,0,0,0,0,0,0,None,None
aldopentose_gamma_branch_RS,0,0,1.8265,0,0,0,0,0,0,None,None
aldopentose_beta_branch_RRR,0,0,1.8265,0,0,0,0,0,0,14.33139023,14.26139023
aldopentose_beta_branch_RSR,0,0,1.8265,0,0,0,0,0,0,None,None
aldopentose_beta_branch_SRR,0,0,1.8265,0,0,0,0,0,0,None,None
aldopentose_beta_branch_SSR,0,0,1.8265,0,0,0,0,0,0,None,None
aldotetrose_alpha_branch_anti,0,0,1.897,0,0,0,0,0,0,10.68,10.72
aldotetrose_alpha_branch_syn,0,0,1.897,0,0,0,0,0,0,10.68,10.72
aldotetrose_alpha_beta_branch,0,0,1.32,0,0,0,0,0,0,13.8,13.9
aldotetrose_beta_branch,0,0,1.8265,0,0,0,0,0,0,10.85265523,10.86258523
aldotriose_alpha_branched,0,0,1.53,0,0,0,0,0,0,8.06,8.09
allose 1,0,0,1.8265,0,0,0,0,0,0,14.46139023,14.58139023
allose 2,0,0,1.8265,0,0,0,0,0,0,15.09139023,15.11139023
