Technique,GCMS,,,,,,,,,,
Date,2019_02_18,,,,,,,,,,
Method_file,Method 5,,,,,,,,,,
Column,HP-5,,,,,,,,,,
Derivatisation_details,75 uL EtONH2.HCl; 30 mins @ 70 oC; 25 uL N,O-Bis(trimethylsilyl)trifluoroacetamide; 30 mins @ 70 oC; dilution to 200 uL with internal standard solution,,,,,,,,,
internal_standard_concentration,0.0008,,,,,,,,,,
internal_standard_position,6.925,,,,,,,,,,
calibration_model,quadratic,,,,,,,,,,
,start_calibration,GCMS,,start_boundaries,GCMS,,,,,,
compound_name,A,A_variance,B,B_variance,AB_covariance,C,C_variance,AC_covariance,BC_covariance,lower,upper
dodecane,0,0,1,0,0,0,0,0,0,4.74,4.79
dihydroxyacetone,0.018306466,0,0.149882238,0,-0.016700568,0,0,0,0,6.04,6.065
tetradecane,0,0,1,0,0,0,0,0,0,6.9,6.93
erythritol,-0.050955007,0,1.408966293,0,-0.285312418,0,0,0,0,7.8,7.86
threitol,-0.050955007,0,1.408966293,0,-0.285312418,0,0,0,0,7.86,7.88
aldotriose_alpha_branched,-0.050955007,0,1.408966293,0,-0.285312418,0,0,0,0,8,8.1
erythrose 1,0.023857559,0,-0.083240387,0,0.063559161,0,0,0,0,8.02,8.03
threose 1,0.040607041,0,0.197543009,0,-0.046078058,0,0,0,0,8.11,8.12
erythrose 2,-0.108481502,0,1.60346596,0,-0.31733796,0,0,0,0,8.175,8.22
threose 2,0.006571489,0,1.214466626,0,-0.253286875,0,0,0,0,8.245,8.255
erythrulose 1,0.134780103,0,0.196426555,0,0,0,0,0,0,8.26,8.28
erythrulose 2,0.143518998,0,0.222203628,0,0,0,0,0,0,8.36,8.38
2-ketotetrose_alpha_branch,0.083070757,0,0.942183616,0,-0.139431113,0,0,0,0,10.01162,10.0519
3-ketopentose_syn,0.083070757,0,0.942183616,0,-0.139431113,0,0,0,0,10.01162,10.0519
3-ketopentose_anti,0.083070757,0,0.942183616,0,-0.139431113,0,0,0,0,10.34,10.38
aldotetrose_alpha_branch_syn,0.10009091,0,1.02325031,0,-0.1407736,0,0,0,0,10.59,10.66
lyxose 1,0.016438888,0,0.212000443,0,-0.04666045,0,0,0,0,10.66,10.675
xylose 1,0.013141915,0,0.372275941,0,-0.062365435,0,0,0,0,10.675,10.695
aldotetrose_beta_branch,0.082917273,0,1.52503529,0,-0.199606246,0,0,0,0,10.705,10.715
xylose 2,-0.143652305,0,2.829294803,0,-0.341087823,0,0,0,0,10.74,10.752
lyxose 2,-0.030847627,0,1.868030437,0,-0.207132493,0,0,0,0,10.81,10.84
arabinose 1,0.077424547,0,1.601808865,0,-0.198241651,0,0,0,0,10.816,10.828
arabinose 2,-0.007906497,0,0.502161022,0,-0.063575774,0,0,0,0,10.865,10.885
ribulose 1,0.481731181,0,-0.004146058,0,-0.037496964,0,0,0,0,10.88,10.9
xylulose 1,0.053411689,0,1.024587842,0,-0.257601208,0,0,0,0,10.91,10.945
xylulose 1,0.053411689,0,1.024587842,0,-0.257601208,0,0,0,0,10.91,10.945
ribitol,None,0,None,0,None,0,0,0,0,10.94405,10.97426
ribulose 2,0.287895023,0,0.073639248,0,-0.040718223,0,0,0,0,10.945,10.965
ribose 1,0.253272312,0,1.752850547,0,-0.152856076,0,0,0,0,11.07,11.12
aldotetrose_alpha_branch_anti,0.10009091,0,1.02325031,0,-0.1407736,0,0,0,0,11.14,11.18
2-ketopentose_alpha_branch_RR,None,0,None,0,None,0,0,0,0,13.02,13.15
polyol 2,None,0,None,0,None,0,0,0,0,13.14,13.2
3-ketohexose_RRS,None,0,None,0,None,0,0,0,0,13.22,13.3
aldotetrose_alpha_beta_branch,None,0,None,0,None,0,0,0,0,13.3,13.42
3-ketohexose_RSS,None,0,None,0,None,0,0,0,0,13.56,13.62
3-ketohexose_SRS,None,0,None,0,None,0,0,0,0,13.56,13.62
3-ketohexose_SSR,None,0,None,0,None,0,0,0,0,13.56,13.62
3-ketohexose_SSS,None,0,None,0,None,0,0,0,0,13.56,13.62
aldopentose_alpha_branch_RRR,0.185785204,0,2.195753647,0,-0.281269578,0,0,0,0,13.68,13.79
2-ketopentose_alpha_branch_RS,None,0,None,0,None,0,0,0,0,13.75,13.8
tagatose 1,0.239615356,0,0.34614467,0,-0.06330576,0,0,0,0,13.815,13.85
psicose 1,0.135216651,0,0.952650159,0,-0.133307025,0,0,0,0,13.93,13.95
3-ketopentose_alpha_branch,0.185785204,0,2.195753647,0,-0.281269578,0,0,0,0,13.94,13.98
aldopentose_beta_branch_RRR,None,0,None,0,None,0,0,0,0,13.99,14
psicose 2,0.130737701,0,2.112636492,0,-0.242280464,0,0,0,0,14,14.1
tagatose 2,0.313524271,0,1.279127043,0,-0.187553789,0,0,0,0,14.115,14.145
