Technique,GCMS,,,,,,,,,,
Date,2020_03_16,,,,,,,,,,
Method_file,Method 5,,,,,,,,,,
Instrument,GCv Agilent/JEOL,,,,,,,,,,
Column,HP-5MS,,,,,,,,,,
Derivatisation_details_GCMS,75 uL EtONH2.HCl; 30 mins @ 70 oC; 25 uL N;O-Bis(trimethylsilyl)trifluoroacetamide; 30 mins @ 70 oC; dilution to 200 uL with internal standard solution,,,,,,,,,,
internal_standard_concentration,0.0008,,,,,,,,,,
internal_standard_position,6.74,,,,,,,,,,
calibration_model,quadratic,,,,,,,,,,
,start_calibration,GCMS,,,,,,,,start_boundaries,
compound_name,A,A_variance,B,B_variance,AB_covariance,C,C_variance,AC_covariance,BC_covariance,lower,upper
formaldehyde,None,None,None,None,None,None,None,None,None,None,None
formate,None,None,None,None,None,None,None,None,None,None,None
glycolaldehyde,None,None,None,None,None,None,None,None,None,None,None
dihydroxyacetone,0.033415941,2.81E-05,0.095969654,0.000128109,-5.80E-05,0,0,0,0,5.87882,5.903645
glyceraldehyde 1,None,None,None,None,None,None,None,None,None,None,None
glyceraldehyde 2,None,None,None,None,None,None,None,None,None,None,None
glycerol,None,None,None,None,None,None,None,None,None,None,None
erythritol,0.50950541,0.00247408,0.398449848,0.01138779,-0.005147648,0,0,0,0,7.94,7.99
threitol,0.509505408,0.00247408,0.39844985,0.01138779,-0.005147648,0,0,0,0,7.61,7.66
aldotriose_alpha_branched,5.07E-02,2.48E-02,4.52E-01,8.63E-02,-4.31E-02,0,0,0,0,7.8,7.85
erythrose 1,1.45E-08,0.002707761,0.319645139,0.009258168,-0.004660178,0,0,0,0,7.99,8.02
erythrose 2,9.47E-22,0.13985599,1.739932829,0.478184844,-0.240698435,0,0,0,0,8.15,8.21
erythrulose 1,0.134436152,0.000989682,0.197186758,0.004482243,-0.002036476,0,0,0,0,8.02,8.06
erythrulose 2,0.142262614,0.001203254,0.224988241,0.005449508,-0.002475945,0,0,0,0,8.11,8.16
glycolaldehyde_dimer,None,None,None,None,None,None,None,None,None,None,None
threose 1,0.069564584,0.000192062,0.100807344,0.000875473,-0.000396487,0,0,0,0,7.89,7.95
threose 2,0.161955619,0.007473765,0.745545983,0.034067458,-0.015428589,0,0,0,0,8.06,8.09
2-ketotetrose_alpha_branch,0.320412544,0.021737295,1.038110627,0.097789575,-0.044539133,0,0,0,0,10.06,10.1
3-ketopentose_anti,0.320412544,0.021737295,1.038110627,0.097789575,-0.044539133,0,0,0,0,10.02,10.1
3-ketopentose_syn,0.320412544,0.021737295,1.038110627,0.097789575,-0.044539133,0,0,0,0,10.85,10.92
aldotetrose_alpha_branch_anti,0.320412544,0.021737295,1.038110627,0.097789575,-0.044539133,0,0,0,0,10.32,10.4
aldotetrose_alpha_branch_syn,0.320412544,0.021737295,1.038110627,0.097789575,-0.044539133,0,0,0,0,10.66,10.69
aldotetrose_beta_branch,0.320412544,0.021737295,1.038110627,0.097789575,-0.044539133,0,0,0,0,10.511265,10.521195
arabinose 1,0.11792398,0.0001959,1.87E-10,0.004897491,-0.00094936,0,0,0,0,10.621388,10.633304
arabinose 2,0.031044786,9.11E-06,1.83E-08,0.000227681,-4.41E-05,0,0,0,0,10.670045,10.689905
